x,y,dy
4400.0,-1.48158,-1.49045
4401.0,-1.58620,-1.59510
4402.0,-0.94817,-0.95711
4403.0,1.60136,1.59238
4404.0,-0.22709,-0.23611
4405.0,1.64965,1.64059
4406.0,-3.10318,-3.11228
4407.0,1.06009,1.05095
4408.0,2.52114,2.51196
4409.0,-0.58678,-0.59600
4410.0,3.49495,3.48570
4411.0,-1.49025,-1.49955
4412.0,-0.82938,-0.83872
4413.0,-2.99577,-3.00515
4414.0,-0.53966,-0.54909
4415.0,-1.87497,-1.88444
4416.0,3.07089,3.06138
4417.0,0.90249,0.89293
4418.0,2.34778,2.33819
4419.0,2.77828,2.76865
4420.0,-1.65398,-1.66366
4421.0,-2.29315,-2.30288
4422.0,2.49663,2.48686
4423.0,-1.35423,-1.36404
4424.0,0.58068,0.57082
4425.0,-0.68947,-0.69938
4426.0,0.16757,0.15762
4427.0,-0.63166,-0.64166
4428.0,0.66128,0.65123
4429.0,-0.82332,-0.83341
4430.0,1.30308,1.29295
4431.0,-1.11596,-1.12614
4432.0,1.41480,1.40457
4433.0,-1.95794,-1.96822
4434.0,-0.69897,-0.70930
4435.0,-1.45546,-1.46584
4436.0,0.41153,0.40111
4437.0,-0.84220,-0.85268
4438.0,0.93003,0.91951
4439.0,0.41489,0.40432
4440.0,-1.37972,-1.39034
4441.0,-0.83748,-0.84815
4442.0,-0.13927,-0.14999
4443.0,-0.52681,-0.53759
4444.0,0.13766,0.12684
4445.0,0.75168,0.74081
4446.0,0.07882,0.06789
4447.0,1.50511,1.49413
4448.0,-1.10933,-1.12036
4449.0,2.19139,2.18030
4450.0,-1.42174,-1.43288
4451.0,2.28739,2.27619
4452.0,1.17201,1.16076
4453.0,2.32207,2.31076
4454.0,2.12905,2.11768
4455.0,2.49453,2.48311
4456.0,-2.00834,-2.01981
4457.0,-1.81864,-1.83018
4458.0,-1.15807,-1.16966
4459.0,1.91932,1.90768
4460.0,4.05070,4.03899
4461.0,-0.82519,-0.83695
4462.0,-1.43812,-1.44994
4463.0,-1.44743,-1.45931
4464.0,-0.04118,-0.05312
4465.0,0.49431,0.48231
4466.0,-0.26900,-0.28106
4467.0,-0.86468,-0.87680
4468.0,0.85722,0.84503
4469.0,0.83686,0.82461
4470.0,-1.33989,-1.35220
4471.0,-1.19744,-1.20981
4472.0,1.16212,1.14968
4473.0,2.31159,2.29909
4474.0,-0.23850,-0.25106
4475.0,1.02517,1.01255
4476.0,0.93873,0.92604
4477.0,-1.12227,-1.13503
4478.0,-1.48399,-1.49681
4479.0,-0.17625,-0.18914
4480.0,-0.81068,-0.82365
4481.0,1.10183,1.08880
4482.0,-2.29509,-2.30819
4483.0,-0.54601,-0.55918
4484.0,1.19289,1.17966
4485.0,-0.22887,-0.24218
4486.0,-0.21898,-0.23236
4487.0,-0.10191,-0.11536
4488.0,-0.33733,-0.35086
4489.0,-0.28192,-0.29552
4490.0,0.19935,0.18569
4491.0,0.03612,0.02238
4492.0,-1.33036,-1.34417
4493.0,1.90453,1.89064
4494.0,0.10090,0.08694
4495.0,0.70225,0.68821
4496.0,-1.53480,-1.54892
4497.0,-2.78253,-2.79672
4498.0,-0.37168,-0.38595
4499.0,0.90324,0.88889
4500.0,-2.55321,-2.56764
4501.0,-1.36447,-1.37898
4502.0,-0.80241,-0.81700
4503.0,1.67790,1.66322
4504.0,3.24534,3.23058
4505.0,-0.70473,-0.71956
4506.0,1.44332,1.42840
4507.0,0.60017,0.58516
4508.0,-1.37815,-1.39324
4509.0,1.49941,1.48423
4510.0,0.97772,0.96246
4511.0,0.27968,0.26433
4512.0,-0.35787,-0.37331
4513.0,-0.11641,-0.13193
4514.0,2.10454,2.08893
4515.0,1.62394,1.60824
4516.0,2.75899,2.74319
4517.0,0.53869,0.52280
4518.0,2.32615,2.31017
4519.0,-1.41609,-1.43217
4520.0,1.55765,1.54148
4521.0,3.27044,3.25418
4522.0,0.59220,0.57584
4523.0,-0.14201,-0.15846
4524.0,1.08435,1.06779
4525.0,0.39812,0.38147
4526.0,-0.93009,-0.94684
4527.0,-1.86752,-1.88437
4528.0,2.31030,2.29334
4529.0,-2.00239,-2.01945
4530.0,-0.02353,-0.04068
4531.0,0.70713,0.68987
4532.0,-0.83795,-0.85532
4533.0,-0.14463,-0.16210
4534.0,-1.37140,-1.38898
4535.0,0.62352,0.60584
4536.0,-0.02083,-0.03862
4537.0,1.46991,1.45201
4538.0,-1.21181,-1.22982
4539.0,0.39343,0.37531
4540.0,-0.90928,-0.92752
4541.0,0.58364,0.56529
4542.0,2.58381,2.56535
4543.0,-1.14696,-1.16554
4544.0,-0.81380,-0.83250
4545.0,1.00591,0.98709
4546.0,-1.62545,-1.64439
4547.0,-2.34118,-2.36023
4548.0,0.64835,0.62918
4549.0,0.01532,-0.00398
4550.0,1.59549,1.57607
4551.0,-0.21540,-0.23495
4552.0,0.10292,0.08324
4553.0,-1.28927,-1.30907
4554.0,0.01855,-0.00138
4555.0,-0.18242,-0.20248
4556.0,0.31035,0.29016
4557.0,0.85206,0.83173
4558.0,0.15923,0.13877
4559.0,-1.46860,-1.48919
4560.0,-0.01131,-0.03204
4561.0,-2.80213,-2.82300
4562.0,0.55723,0.53622
4563.0,0.17846,0.15732
4564.0,-1.03268,-1.05397
4565.0,2.11464,2.09321
4566.0,-0.88146,-0.90304
4567.0,1.67926,1.65754
4568.0,-1.71489,-1.73676
4569.0,1.80947,1.78745
4570.0,-2.00135,-2.02352
4571.0,-6.96109,-6.98342
4572.0,-3.02790,-3.05038
4573.0,-1.24958,-1.27222
4574.0,-0.44224,-0.46503
4575.0,-1.03642,-1.05938
4576.0,0.06015,0.03704
4577.0,1.21719,1.19391
4578.0,-0.09384,-0.11728
4579.0,2.55418,2.53057
4580.0,-0.33065,-0.35442
4581.0,1.24945,1.22551
4582.0,-0.69448,-0.71859
4583.0,-0.11011,-0.13439
4584.0,-0.53772,-0.56218
4585.0,1.57813,1.55349
